Currency,Timestamp,Trade Type,Price,Quantity,Value (Incl. Fee),Fee,From,To,Transaction Id
Canadian Dollar (CAD),2021-01-01 0:53,Fiat Deposit,1,300,300,0,Bank,Newton,605690351
Litecoin (LTC),2021-01-01 0:59,Buy,168,1.785773,300.01,0,Newton,Newton,852051668
Canadian Dollar (CAD),2021-01-01 0:59,Sell,1,300.009864,300.01,0,Newton,Newton,852051668
Litecoin (LTC),2021-01-01 1:16,Transfer In,158.86934,2.086298,331.45,0,Newton,Binance,f624d6dbdd0dd57e78fa2575064b37ca80b7801d5eb86746877db2d51fd7c271
Litecoin (LTC),2021-01-01 1:20,Transfer Out,158.86934,2.086298,331.45,0,Newton,Binance,3151606187
Litecoin (LTC),2021-01-01 2:07,Transfer Out,158.86934,2.085698,331.35,0.0953216,Binance,Wallace BSC (0xf5...76A0),0x6c0b04d47952d8ea3c874b7878c5ee302af9eb32180a763d8705a18f4ad7302f
Litecoin (LTC),2021-01-01 2:07,Fee,158.86934,0.0006,0.1,0,Binance,Binance,0x6c0b04d47952d8ea3c874b7878c5ee302af9eb32180a763d8705a18f4ad7302f
Binance-Peg Litecoin Token (LTC),2021-01-01 2:08,Transfer In,158.86934,2.085698,331.35,0,0x631fc1ea2270e98fbd9d92658ece0f5a269aa161,Wallace BSC (0xf5...76A0),0x6c0b04d47952d8ea3c874b7878c5ee302af9eb32180a763d8705a18f4ad7302f
Binance-Peg Litecoin Token (LTC),2021-01-01 2:49,Transfer Out,158.86934,2.085698,331.35,0.0397513,Wallace BSC (0xf5...76A0),0xb6ec88c19b403220d16a1239facbe2d23bbe8502,0x3df302496f6fa7ac9d3ea3d1d984f5a963b300b227feb1f9824619b6faf1a933
Binance Coin (BNB),2021-01-01 2:49,Fee,47.85594169,0.00083065,0.04,0,Wallace BSC (0xf5...76A0),Wallace BSC (0xf5...76A0),0x3df302496f6fa7ac9d3ea3d1d984f5a963b300b227feb1f9824619b6faf1a933
Litecoin (LTC),2021-01-01 2:50,Transfer In,158.86934,2.085698,331.35,0,Unknown,Binance,0x3df302496f6fa7ac9d3ea3d1d984f5a963b300b227feb1f9824619b6faf1a933
Binance Coin (BNB),2021-01-01 2:52,Buy,47.91590021,1.31920186,63.26,0.04744345,Binance,Binance,5473205
Binance Coin (BNB),2021-01-01 2:52,Buy,47.91590021,5.84195225,280.13,0.21009924,Binance,Binance,5473206
