Currency,Timestamp,Trade Type,Price,Quantity,Value (Incl. Fee),Fee,From,To,Transaction Id
Bitcoin (BTC),2020-01-03 21:06,Transfer In,9493.549041,0.00300418,28.52,0,Unknown,Main (1MmF...FTTb),b9ff892a2b0f773857bbeac0fa9ece89052d75b66c11a12119c49c3e656bfbfa
GAS,2020-01-04 13:24,Airdrop,1.21431114,0.08549766,0.1,0,Binance,Binance,6124467723
Chainlink (LINK),2020-01-10 13:44,Transfer Out,2.8333466,60.49829703,171.41,1.04833824,Binance,Wallace ETH (0xf5...76A0),0xecd0a0360a7881326d6e676b311d89381253f3b6d24caed05afb32e14b2f76a1
Chainlink (LINK),2020-01-10 13:44,Fee,2.8333466,0.37,1.05,0,Binance,Binance,0xecd0a0360a7881326d6e676b311d89381253f3b6d24caed05afb32e14b2f76a1
Chainlink (LINK),2020-01-10 13:52,Transfer In,2.8333466,60.49829703,171.41,0,Binance,Wallace ETH (0xf5...76A0),0xecd0a0360a7881326d6e676b311d89381253f3b6d24caed05afb32e14b2f76a1
Ethereum (ETH),2020-01-16 13:20,Transfer Out,211.8021178,1.92395869,407.5,0.01779138,Coinbase,0x653e4B2cc1fc0875A5dc257c9909f44A86837595,0xd952c82f6c0519fe1170c965882771c30c90f606f571c2dea7556caa8c7d5c14
Ethereum (ETH),2020-01-16 13:20,Fee,211.8021178,0.000084,0.02,0,Coinbase,Coinbase,0xd952c82f6c0519fe1170c965882771c30c90f606f571c2dea7556caa8c7d5c14
Bitcoin (BTC),2020-01-20 10:10,Transfer In,11281.04319,0.0087427,98.63,0,Unknown,Binance,0dca257260c06f85aaf6df3ef36739e43420f9777cadbb9f320c5d9e9cb14028
Ethereum (ETH),2020-01-20 13:38,Transfer In,217.2925559,0.05,10.86,0,0x653e4b2cc1fc0875a5dc257c9909f44a86837595,Wallace ETH (0xf5...76A0),0xfb333baba0dca236959f2a34c44f1f87f88457c876eed089134205d81c20f0e1
Ethereum (ETH),2020-01-20 13:39,Failed Out,217.3056089,0,0,0.03144456,Wallace ETH (0xf5...76A0),0xc12d1c73ee7dc3615ba4e37e4abfdbddfa38907e,0x656b553da55147a04f0442e5d018a249af1f704f43082881556cccbf204ea93f
Ethereum (ETH),2020-01-20 13:39,Fee,217.3056089,0.0001447,0.03,0,Wallace ETH (0xf5...76A0),Wallace ETH (0xf5...76A0),0x656b553da55147a04f0442e5d018a249af1f704f43082881556cccbf204ea93f
Ethereum (ETH),2020-01-20 13:54,Failed Out,217.4622443,0,0,0.03146722,Wallace ETH (0xf5...76A0),0xc12d1c73ee7dc3615ba4e37e4abfdbddfa38907e,0x391f3be531569efd65c45038caf245d320a37b9dd93a56e25f3ab44e1e149b24
